=== Go Test Coverage Summary ===

	plotter-pen/cmd/server		coverage: 0.0% of statements
ok  	plotter-pen/internal/handler	7.397s	coverage: 76.5% of statements
ok  	plotter-pen/internal/persistence	2.687s	coverage: 96.7% of statements
ok  	plotter-pen/internal/service/cam	0.618s	coverage: 99.1% of statements
ok  	plotter-pen/internal/service/import	1.432s	coverage: 83.5% of statements
ok  	plotter-pen/internal/service/opcua	(cached)	coverage: 29.1% of statements
ok  	plotter-pen/internal/system	0.952s	coverage: 85.8% of statements
ok  	plotter-pen/pkg/clipper	0.606s	coverage: 100.0% of statements
ok  	plotter-pen/pkg/curve	(cached)	coverage: 100.0% of statements
ok  	plotter-pen/pkg/gcode	(cached)	coverage: 100.0% of statements
ok  	plotter-pen/pkg/geom	0.588s	coverage: 100.0% of statements
ok  	plotter-pen/pkg/plc	(cached)	coverage: 100.0% of statements
